covariate,smd_before,smd_after_ipw
age,-0.03336790491712,-0.0018108457534423271
tenure_years,0.051647974228982936,-0.021936483187820283
team_size,0.03284688377368578,-0.0011368659899107052
span_of_control,0.029258562757877492,-0.0022339927101200515
performance_rating,1.1033020643774738,0.0050720260587258075
dept_promo_intensity,0.5741980767972332,0.0026363998229994774
efficacy_baseline,0.7652849898259515,0.00204243240646995
workload_baseline,-0.3354442776044636,-0.016216939697306205
stay_baseline,0.5658793472280601,0.012509158895545375
gender_Male,-0.01620073930942677,0.006754043509233229
region_EMEA,-0.04557763939846302,0.004071889798271054
region_LATAM,0.03908816857109032,0.02256771379280709
region_North America,0.0200744978901558,-0.015675409452323968
organization_Customer Success,0.07466613328925484,-0.0038783797692107684
organization_Engineering,-0.24295328784250345,-0.002587063748769111
organization_Operations,-0.07100541732677935,0.001600177597114933
organization_Sales,0.4536834975134898,0.0038384691348473648
job_family_People Manager,-0.08613418325553589,-0.0030401601908179527
job_family_Program Manager,0.03508987488572025,0.003570510144419904
job_family_Technical Lead,0.08131401020164596,0.007314030352141706
